Unnamed: 0,id,nom,sexe,naissance,race,pays,info,infoyear
218,ZXh0dk9yUXEzcEJtTXR4SWZTK1drdz09,VOLVORETA,F,1997,PS,GB,volvoreta gb f.ps.+,2000
219,alRCUjJscmNsR0xuQUFjV2d1cVpOZz09,MONTJEU,M,1996,PS,IRE,Montjeu,2000
220,UWhuTjRaQjZpUGVHT1hLb0NjdVpTQT09,HIGHTORI,M,1997,PS,FR,Hightori,2000
221,Y0pKZlJPOWFCQkZqTmRpdkZ2Ky9OUT09,SAMUM,M,1997,PS,GER,Samum,2000
222,ejAwT1hiTXcwNk5VdEttdSs5R1lUdz09,DARING MISS,F,1996,PS,GB,Daring Miss,2000
223,MW5QQ214MmVTQVFBVG1JWkVaYkthZz09,RUSSIAN HOPE,M,1995,PS,IRE,Russian Hope,2000
224,QUJyRWxweHNWOUJFZGovZmd3ZmVGZz09,HESIODE,H,1997,PS,FR,Hesiode,2000
225,VnR6UGVHK3NuYkkyTGNGMlpFQTkvQT09,RAYPOUR,M,1997,PS,IRE,Raypour,2000
226,aURsenJ5KzdvSGhpOXhLT2xvN0NjZz09,CARNEGIE,M,1991,PS,IRE,carnegie ire m.ps. 3 a.,1994
227,R3kwbmR3ZnRKYlpjR2NuOG5OcmJ4UT09,APPLE TREE,M,1989,PS,FR,apple tree  m.ps. 5 a.,1994
228,KzhDK2dKUjVJM0p2eUw1VFUvT0ZSQT09,LANDO,M,1990,PS,GER,lando ger m.ps. 4 a.,1994
229,WXNMTFRrS3h2Z3paQWNEb1RMTUh6Zz09,MILLKOM,M,1991,PS,GB,millkom gb m.ps. 3 a.,1994
230,ZlFKRTluczZqT3pRdEdVOTZTVFFQZz09,KING'S THEATRE,M,1991,PS,IRE,king's theatre ire m.ps. 3 a.,1994
231,ZC83a3A2aGhuamwySzFzc3BXdG5Pdz09,BIG TOBIN,M,1989,PS,ITY,big tobin ity m.ps. 5 a.,1994
232,MWFpNGd0NUlONzVmNFJXTnZtUWZNQT09,BROADWAY FLYER,M,1991,PS,USA,broadway flyer usa m.ps. 3 a.,1994
233,VHdMRTIwSU5ob1NRRkgzK2dSUHJ0dz09,CELTIC ARMS,M,1991,PS,FR,celtic arms  m.ps.+,1994
