id,nom,sexe,naissance,race,pays,info,infoyear
YjIyaXo3a0RGVVNLMjZZVlFacjkyUT09,YELLOW AND GREEN,F,2009,PS,GB,yellow and green gb f.ps.+,2012
TFZLdHZSZEpvVkVNSzlxeWM5dm4vZz09,GREAT HEAVENS,F,2009,PS,GB,great heavens gb f.ps. 3 a.,2012
TjEyUFdzSXRsMGdXaXRCcXZWN3gydz09,CAMELOT,,0,,,camelot gb m.ps. 3 a.,2012
UjRyVVZ3Zi9RSk54WEs0M21IRVB2Zz09,SEA MOON,M,2008,PS,GB,sea moon gb m.ps. 4 a.,2012
Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09,SHARETA,F,2008,PS,IRE,shareta (ire) f.ps. 4 a.,2012
bCtPVWJoQTlRMFNRSG8xd01DdGpuQT09,BAYRIR,M,2009,PS,FR,bayrir  m.ps. 3 a.,2012
dldoMUVGaE40ZlJLN21YaWkwdXhUQT09,ST NICHOLAS ABBEY,M,2007,PS,IRE,st nicholas abbey ire m.ps. 5 a.,2012
YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09,MEANDRE,M,2008,PS,FR,meandre  m.ps. 4 a.,2012
VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09,MIKHAIL GLINKA,M,2007,PS,IRE,mikhail glinka ire m.ps. 5 a.,2012
QkhLaXpvdlBPbTdCT1MzK1pKWUhwdz09,ROBIN HOOD,,0,,,robin hood ire m.ps. 4 a.,2012
OVpZYW9WQ1g1cHY5RGhsUGxFSGpqQT09,AVENTINO,M,2004,PS,JPN,AVENTINO JPN M.PS. 8 a.,2012
Y1NPME5DajJaSnVhQjgwczVJZlNRQT09,KESAMPOUR,M,2009,PS,FR,kesampour  m.ps. 3 a.,2012
d2krK3hvYUhLdlRLZjZMTzRZK2FnUT09,ERNEST HEMINGWAY,M,2009,PS,IRE,ernest hemingway ire m.ps. 3 a.,2012
YXJKMFBUYzhRSkE5UnhrLzlFNjVnQT09,SAONOIS,M,2009,PS,FR,saonois  m.ps. 3 a.,2012
QVBjY3U4T0hlMHhpcHpRQndEKzQwUT09,URBAN SEA,,0,,,urban sea usa f.ps. 4 a.,1993
R2JzOXpndkhFeWFsWVRHb3dHM0R6Zz09,WHITE MUZZLE,,0,,,white muzzle gb m.ps. 3 a.,1993
Z3hBWVB1RWpmV20xa3MrcnVnVFFkUT09,OPERA HOUSE,,0,,,opera house gb m.ps. 5 a.,1993
alFQYXlRZVR4cmdQZXM3ZVRNM1NSUT09,INTREPIDITY,,0,,,intrepidity gb f.ps. 3 a.,1993
dFhkeERHK0JNRWpQUnQzdTE3dmp4dz09,ONLY ROYALE,,0,,,only royale ire f.ps. 4 a.,1993
UFJyRjg3WkxsaVdXWDllTUtncnhXZz09,BOB'S RETURN,,0,,,bob's return ire m.ps. 3 a.,1993
U0FsaDZKaXQ1M04veHZjZ2g1S0JQQT09,MISIL,,0,,,misil usa m.ps. 5 a.,1993
OVg2WjhoZDJ4alM3VnRwbU9XR1I1Zz09,TALLOIRES,,0,,,talloires usa m.ps. 3 a.,1993
Rm4yclZydUFyWTBBTFNaaDVPN09NUT09,VERT AMANDE,,0,,,vert amande  m.ps. 5 a.,1993
eVh6UmRFeUhzVlVZWkxUcDN0WEh6dz09,MARKET BOOSTER,,0,,,market booster usa f.ps. 4 a.,1993
Z1NpdDJNU085QVJsNGFTNEJCampOZz09,ALWAYS FRIENDLY,,0,,,always friendly gb f.ps. 5 a.,1993
U05CRWlMR0VRUStmRTk1QldwRjFDUT09,ARMIGER,,0,,,armiger gb m.ps. 3 a.,1993
ZHAvNEJLUVBYTG0rdFRIZzR5QnZSdz09,BADOLATO,,0,,,badolato usa m.ps.+,1993
TXBPQlhTdWpIdnE4amFzc3lvd1BtZz09,BRIGHT MOON,,0,,,bright moon usa f.ps.+,1993
eUN1b2p2LzY1blY2Y2NKV2JVWk5YUT09,DANCIENNE,,0,,,dancienne  f.ps. 3 a.,1993
THRoZUJPek96MWVHSmhscGVSWUYxZz09,DARIYOUN,,0,,,dariyoun usa m.ps. 5 a.,1993
cDlLZ3poRWZYOVZ0cVhSKzFSaHVSUT09,EZZOUD,,0,,,ezzoud ire m.ps.+,1993
eElsRDdPZm9sSnlWMm04OFZpVWxwdz09,GARDEN OF HEAVEN,,0,,,garden of heaven usa m.ps. 4 a.,1993
