,Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
290,8,bollin eric gb m.ps. 4 a.,Nyt6Z0J5ei96T21VMFdEc3F5RUsyZz09,7.0,Par: SHAAMIT  et BOLLIN ZOLA (ALZAO),3.L (Corde:09),,SIR NEIL  WESTBROOK,TD. EASTERBY,KEVIN  DARLEY,"59,5kg",,,,,,,"SIR N. WESTBROOK,LADY  WESTBROOK"
226,--,nothin'leica dane aus m.ps. 5 a.,NzRJWHlKM2c2Q2N0RitqNU1UQyszZz09,3.0,Par: DANEHILL  et LEICA PRETENDER (SIR TRISTRAM),(Corde:18),,DALTON HODGE ECURIE SYNDICATE,JE. HAMMOND,GERALD  MOSSE,"59,5kg",,,,,,,ARROWFIELD GROUP PTY LTD
411,10,ghaiyyath ire m.ps. 4 a.,OEVXa3VKb1gwRzVtenBOdkFVdjJBZz09,3.0,Par: DUBAWI  et NIGHTIME (GALILEO),2.5 (Corde:12),,GODOLPHIN,C. APPLEBY,WILLIAM  BUICK,"59,5kg",,,,,,,SPRINGBANK WAY STUD
294,--,DIYAPOUR  H.PS.+,OEhmVHZTSFBtZ3hoeFBRSktGWTNoQT09,9.0,Par: ALHAARTH  et DIYAWARA (DOYOUN),(Corde:03),,S.A.   AGA KHAN,A.DE ROYER DUPRE,THIERRY  GILLET,56 kg,,,,,,3.0,S.A.  AGA KHAN
183,2,in swoop ire m.ps. 3 a.,OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09,12.0,Par: ADLERFLUG  et IOTA (TIGER HILL),ENC (Corde:01),,GESTUT SCHLENDERHAN,FH. GRAFFARD (S),RONAN  THOMAS,"56,5kg",770.839,,,,,,STALL ULLMANN
454,--,papal bull gb m.ps. 5 a.,OHRGVnJJcVBuaExzMGxtQld4ckRJQT09,8.0,Par: MONTJEU  et MIALUNA (ZAFONIC),(Corde:05),,PAPAL BULL SYNDICATE,SIR MR. STOUTE,JIMMY  FORTUNE,"59,5kg",,,,,,,"BH. SIMPSON, CFD. SIMPSON"
169,7,kew gardens ire m.ps. 3 a.,OTE4NWgvczJmSkVIR0ROUnNpa09EZz09,13.0,Par: GALILEO  et CHELSEA ROSE (DESERT KING),ENC (Corde:14),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,RYAN-LEE  MOORE,"56,5kg",,,,,,1.0,BARRONSTOWN STUD
336,8,silverskaya usa f.ps. 3 a.,OTYrL3Vpbmo4S3lIRGt4SFdBVHpyUT09,18.0,Par: SILVER HAWK  et BOUBSKAIA (NINISKI),2.5 (Corde:06),,EARL . CHAMP GIGNOUX,JC. ROUGET-(S),IORITZ  MENDIZABAL,"54,5kg",,,,,,,"M3 ELEVAGE,  HARAS D'ETREHAM,  PONTCHARTRAIN STUD"
28,--,SONG OF HIAWATHA GB M.PS. 3 a.,OUFyT1lLKzMxNVBUVG5oSk4xME9JUT09,8.0,Par: SADLER'S WELLS  et SABRIA (MISWAKI),(Corde:07),,D.SMITH/M.TABOR/MME J.MAGNIER,AP. O'BRIEN,DAVID  MC CABE,56 kg,,,,S,,1.0,ROCKWELL BLOODSTOCK
364,--,cape blanco ire m.ps. 3 a.,OUJEVm4yNXZYaDdFZFEvY1JudlZiUT09,15.0,Par: GALILEO  et LAUREL DELIGHT (PRESIDIUM),(Corde:11),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,CHRISTOPHE  SOUMILLON,56 kg,,,,,,1.0,"J. RONAN,  DES VERE HUNT FARM LTD"
