,NumSire,NomCheval,Suffixe,Race,Sexe,AnneeNaissance,link
64,SGJDenBYdWpaWXFERUJ6eWRBU1lNUT09,FREE EAGLE               ,IRE,PS   ,M,2011,/fr/cheval/SGJDenBYdWpaWXFERUJ6eWRBU1lNUT09
65,YkRwb2FOSTN4RktyWFJ3K1dLckVCZz09,RELIABLE MAN             ,GB ,PS   ,M,2008,/fr/cheval/YkRwb2FOSTN4RktyWFJ3K1dLckVCZz09
66,dlFLNFhzN2c3WStrNWd3a090Zy9pQT09,SOFT LIGHT               ,FR ,PS   ,M,2016,/fr/cheval/dlFLNFhzN2c3WStrNWd3a090Zy9pQT09
67,bUZEU1hQSjJkbXFqNDBtcGhSSVFydz09,FRENCH KING              ,GB ,PS   ,M,2015,/fr/cheval/bUZEU1hQSjJkbXFqNDBtcGhSSVFydz09
68,Y29qVCtTMmJzQXhZYzdvR1A5aVpUQT09,MANATEE                  ,GB ,PS   ,M,2011,/fr/cheval/Y29qVCtTMmJzQXhZYzdvR1A5aVpUQT09
69,NFVobmo3Zm4zNFZ5VHhzOGFXWkJtUT09,MARINOUS                 ,FR ,PS   ,M,2006,/fr/cheval/NFVobmo3Zm4zNFZ5VHhzOGFXWkJtUT09
70,SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09,MAGICAL                  ,IRE,PS   ,F,2015,/fr/cheval/SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09
71,d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09,TREVE                    ,FR ,PS   ,F,2010,/fr/cheval/d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09
72,MjlMSlBkbnpHN0NCNXZ3aklVbG5jQT09,IT'S GINO                ,GER,PS   ,M,2003,/fr/cheval/MjlMSlBkbnpHN0NCNXZ3aklVbG5jQT09
73,ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09,HARZAND                  ,IRE,PS   ,M,2013,/fr/cheval/ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09
74,N3labVdLZXlaZHA2YVhtb2RrUmFidz09,POSTPONED                ,IRE,PS   ,M,2011,/fr/cheval/N3labVdLZXlaZHA2YVhtb2RrUmFidz09
75,dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09,LIANG KAY                ,GER,PS   ,M,2005,/fr/cheval/dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09
