id,nom,arc_participation,arc_best_place,arc_worst_place,arc_avg_place
SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09,CONDUIT,1,4.0,4.0,4.0
MHlnYUcrbnUvU0trTU1Gd1krQjhFQT09,GOLD TRIP,1,4.0,4.0,4.0
aER2UWw3NU5WUWlhNHZoRno1Y1FJdz09,JAPAN,1,4.0,4.0,4.0
UVFkMzhzblJXZ2pma04rVDRYTGV6dz09,KIZUNA,1,4.0,4.0,4.0
MmZuaHFKMHNuc0RzbHJpN1Z3QUhEZz09,KINGSTON HILL,1,4.0,4.0,4.0
NlJrb3dlZE1weW9WdEFNQjZEdmZudz09,DOYEN,1,4.0,4.0,4.0
YkZpSkE2Z29lWFVLdTZJTmZaSzJ5dz09,CALIFET,1,4.0,4.0,4.0
b0dKWDZVMkZSTlN0Z1B2VzNwTXBkUT09,ACROPOLIS,1,4.0,4.0,4.0
bHVNbFlaeFJTRWhPc3NLeksvSSswQT09,SO YOU THINK,1,4.0,4.0,4.0
Mjh1UWtDdXVuTnBveHBaZ0RWZ0FSZz09,GOLAN,1,4.0,4.0,4.0
ajVkellKNDFIQnFMQVVmVzVnSmt6dz09,ERUPT,1,5.0,5.0,5.0
N3labVdLZXlaZHA2YVhtb2RrUmFidz09,POSTPONED,1,5.0,5.0,5.0
M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09,BRAMETOT,1,5.0,5.0,5.0
ekhsYzRqakZGTE1oOTR6SjBlSmQ5Zz09,IRISH WELLS,1,5.0,5.0,5.0
ekZpcjZmZk0wQ3dudmlQTGpnc2M1dz09,DAR RE MI,1,5.0,5.0,5.0
VnlRVW1Ic29FNlUyWENoZlk2a3JDZz09,MOTIVATOR,1,5.0,5.0,5.0
eGZRRkMybVdVeEJBZnlVVnU1ZDczZz09,LUNA WELLS,1,5.0,5.0,5.0
YjIyaXo3a0RGVVNLMjZZVlFacjkyUT09,YELLOW AND GREEN,1,5.0,5.0,5.0
L21YajJPdkRTQkVURUtZSnozMm1HUT09,RAABIHAH,1,5.0,5.0,5.0
c0hTZWZ6bWIyRHhkMEhsK3NYOTdZdz09,PENGLAI PAVILION,1,5.0,5.0,5.0
RWUra25OV0hpbno0VndHZ2cwTktjZz09,PREDAPPIO,1,5.0,5.0,5.0
VDJ1VEd0bmJWWmw4Q2pBVTd1R0hCUT09,VINNIE ROE,1,5.0,5.0,5.0
QjZ0UVJQeU5nemVUcUkxMnBDZk1TUT09,ISLINGTON,1,5.0,5.0,5.0
UGROVTFmRkRDbjhORkYwbk5ObzdlQT09,PURE GRAIN,1,5.0,5.0,5.0
amMwaThOQUlmMFM0TXIra2RoVVVCUT09,NORTH LIGHT,1,5.0,5.0,5.0
WHdRd3MzcGk5RUtCU3paWFUxZ3F3UT09,MILAN,1,5.0,5.0,5.0
YXBUWDVLZ3ovVDlkU3BCRnpWK0tOdz09,CAITANO,1,5.0,5.0,5.0
SGJDenBYdWpaWXFERUJ6eWRBU1lNUT09,FREE EAGLE,1,6.0,6.0,6.0
cHFPQXFzVytvaGpaTXN5WTN2WjRTdz09,SADDEX,1,6.0,6.0,6.0
K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09,DSCHINGIS SECRET,1,6.0,6.0,6.0
WlJ2TStIa2d5ODFaTDFqRk5sbG8xZz09,SIXTIES ICON,1,6.0,6.0,6.0
ZEwrQmZLa2NhOUQ4emlFVkdUZTlZUT09,SHAWANDA,1,6.0,6.0,6.0
TFZLdHZSZEpvVkVNSzlxeWM5dm4vZz09,GREAT HEAVENS,1,6.0,6.0,6.0
UFJyRjg3WkxsaVdXWDllTUtncnhXZz09,BOB'S RETURN,1,6.0,6.0,6.0
aWtjV3FPTU0yK3ZuSmJldXJCR042Zz09,SALOUEN,1,6.0,6.0,6.0
