Place,Cheval,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs,Année,fg_id
11,one foot in heaven (ire) h.ps. 5 a.,03,Par: FASTNET ROCK  et PRIDE (PEINTRE CELEBRE),ENC (Corde:11),,FAIR SALINIA LTD,A.DE ROYER DUPRE,JAMES WILLIAM  DOYLE,"59,5kg",,,,,,,CRAIGAVON AGRO LTD,2017,RWR5RWt3QWVRWFdnRitibDhxbGh0UT09
12,doha dream  m.ps. 4 a.,02,Par: SHAMARDAL  et CRYSTAL REEF (KING'S BEST),ENC (Corde:12),,AL SHAQAB RACING,A. FABRE (S),GREGORY  BENOIST,"59,5kg",,,,,,1,ECURIE HARAS BOUQUETOT SAS,2017,NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09
13,plumatic (gb) m.ps. 3 a.,16,Par: DUBAWI  et PLUMANIA (ANABAA),1.5 (Corde:14),,WERTHEIMER & FRERE,A. FABRE (S),MAXIME  GUYON,"56,5kg",,,,,,,WERTHEIMER & FRERE,2017,YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09
14,seventh heaven ire f.ps. 4 a.,13,Par: GALILEO  et LA TRAVIATA (JOHANNESBURG),1/2 (Corde:17),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,SUC. PATRICK JOSEPH  SMULLEN,58 kg,,,,,,4,LA TRAVIATA SYNDICATE,2017,NHZoWlVHMUxmNmFIeUdTa09jbDB5dz09
15,satono diamond jpn m.ps. 4 a.,09,Par: DEEP IMPACT  et MALPENSA (ORPEN),T (Corde:13),,HAJIME  SATOMI,Y. IKEE,CHRISTOPHE-PATRICE  LEMAIRE,"59,5kg",,,,,,3,NORTHERN RACING,2017,WFRSdmloSlRtRmJXNGtORzR4ckFRQT09
16,satono noblesse jpn m.ps. 7 a.,10,Par: DEEP IMPACT  et CRY WITH JOY (TONY BIN),1/2 (Corde:05),,HAJIME  SATOMI,Y. IKEE,YUGA  KAWADA,"59,5kg",,,,,,3,MEJIRO STUD,2017,cnphcHp4eGdSNHFJOVBFYk05MmZBZz09
17,capri ire m.ps. 3 a.,15,Par: GALILEO  et DIALAFARA (ANABAA),(Corde:15),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,WAYNE-MARTIN  LORDAN,"56,5kg",,,,,,4,"LYNCH-BAGES LTD,  CAMAS PARK STUD",2017,aVNwNVk4YjBqZis5Yjc4K1NKbHJOZz09
18,silverwave  m.ps. 5 a.,06,Par: SILVER FROST  et MISS BIO (RIVER MIST),(Corde:16),,MARTIN S. SCHWARTZ RACING,P. BARY (S),PIERRE-CHARLES  BOUDOT,"59,5kg",,,,,,,"MLLE ML. COLLET, J. COLLET,MME M. COLLET",2017,eElISExrSmJ5bTJud3BsV0hIa09xdz09
1,found ire f.ps. 4 a.,10,Par: GALILEO  et RED EVIE (INTIKHAB),(Corde:12),,M.TABOR/D.SMITH/MME J.MAGNIER,AP. O'BRIEN,RYAN-LEE  MOORE,58 kg,2.857.000,,,,,,"RON CON LTD,  WYNATT,  CHELSTON (IRELAND)",2016,RjBiUHlWMCs1OFJJb3NOd09HdytWdz09
2,highland reel ire m.ps. 4 a.,04,Par: GALILEO  et HVEGER (DANEHILL),7/4 (Corde:11),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",1.143.000,,,,,,HVEGER SYNDICATE,2016,QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09
