Place,Cheval,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs,Année
16,cnphcHp4eGdSNHFJOVBFYk05MmZBZz09,10,Par: DEEP IMPACT  et CRY WITH JOY (TONY BIN),1/2 (Corde:05),,HAJIME  SATOMI,Y. IKEE,YUGA  KAWADA,"59,5kg",,,,,,3,MEJIRO STUD,2017
17,aVNwNVk4YjBqZis5Yjc4K1NKbHJOZz09,15,Par: GALILEO  et DIALAFARA (ANABAA),(Corde:15),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,WAYNE-MARTIN  LORDAN,"56,5kg",,,,,,4,"LYNCH-BAGES LTD,  CAMAS PARK STUD",2017
18,eElISExrSmJ5bTJud3BsV0hIa09xdz09,06,Par: SILVER FROST  et MISS BIO (RIVER MIST),(Corde:16),,MARTIN S. SCHWARTZ RACING,P. BARY (S),PIERRE-CHARLES  BOUDOT,"59,5kg",,,,,,,"MLLE ML. COLLET, J. COLLET,MME M. COLLET",2017
1,RjBiUHlWMCs1OFJJb3NOd09HdytWdz09,10,Par: GALILEO  et RED EVIE (INTIKHAB),(Corde:12),,M.TABOR/D.SMITH/MME J.MAGNIER,AP. O'BRIEN,RYAN-LEE  MOORE,58 kg,2.857.000,,,,,,"RON CON LTD,  WYNATT,  CHELSTON (IRELAND)",2016
2,QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09,04,Par: GALILEO  et HVEGER (DANEHILL),7/4 (Corde:11),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",1.143.000,,,,,,HVEGER SYNDICATE,2016
3,SXFsNEYvUmtRVERCV2RSeE93Skl6UT09,08,Par: GALILEO  et ANOTHER STORM (GONE WEST),1.5 (Corde:16),,WILLIAMS/MAGNIER/TABOR/SMITH,AP. O'BRIEN,LANFRANCO  DETTORI,"59,5kg",571.500,,,,,,PAGET BLOODSTOCK,2016
4,aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09,09,Par: SAGAMIX  et HUMORISTE (SAINT CYRIEN),3/4 (Corde:03),,E. PALLUAT DE BESSET / E. TASSIN,JP. GAUVIN,PIERRE-CHARLES  BOUDOT,58 kg,285.500,,13.500,,,,SUC. A. OUVRY,2016
5,N3labVdLZXlaZHA2YVhtb2RrUmFidz09,02,Par: DUBAWI  et EVER RIGG (DUBAI DESTINATION),2.5 (Corde:07),,CHEIK MOHAMMED OBAID  AL MAKTOUM,R. VARIAN,ANDREA  ATZENI,"59,5kg",143.000,,,,,,ST. ALBANS BLOODSTOCK LIMITED,2016
6,RWR5RWt3QWVRWFdnRitibDhxbGh0UT09,05,Par: FASTNET ROCK  et PRIDE (PEINTRE CELEBRE),NEZ (Corde:09),,FAIR SALINIA LTD,A.DE ROYER DUPRE,CRISTIAN  DEMURO,"59,5kg",,,,,,,CRAIGAVON AGRO LTD,2016
7,bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09,01,Par: DUBAWI  et CINNAMON BAY (ZAMINDAR),CTE (Corde:08),,SUC. KHALID  ABDULLAH,A. FABRE (S),VINCENT  CHEMINAUD,"59,5kg",,,,,,,JUDDMONTE FARMS IRELAND,2016
8,bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09,15,Par: ADLERFLUG  et SOUDAINE (MONSUN),1.5 (Corde:10),,STALL ULLMANN,JP. CARVALHO,FREDERIK  TYLICKI,56 kg,,,,,,,STALL ULLMANN,2016
9,ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09,11,Par: SEA THE STARS  et HAZARIYA (XAAR),7/4 (Corde:06),,H.H.   AGA KHAN,DK. WELD,SUC. PATRICK JOSEPH  SMULLEN,56 kg,,,,,,1,S.A.  AGA KHAN,2016
10,TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09,12,Par: DUBAWI  et VADAWINA (UNFUWAIN),2.L (Corde:01),,H.H.   AGA KHAN,A.DE ROYER DUPRE,ALEXIS  BADEL,56 kg,,,,,,1,HARAS DE S.A. AGA KHAN SCEA,2016
11,Z2I5elZrWUt2dW1KQ0lvb2lvVFhTdz09,13,Par: MEDAGLIA D'ORO  et MAGIC MISSION (MACHIAVELLIAN),7.L (Corde:05),,DARLEY SNC,A. FABRE (S),MICKAEL  BARZALONA,56 kg,,,,,,,DARLEY STUD MANAGEMENT CO. LTD,2016
12,czU4dVB6aEQxV01OeGNYMFpuaW11Zz09,16,Par: DUBAWI  et BALLADEUSE (SINGSPIEL),1.L (Corde:15),,WERTHEIMER & FRERE,C. LAFFON-PARIAS,MAXIME  GUYON,"54,5kg",,,,,,,WERTHEIMER & FRERE,2016
13,eElISExrSmJ5bTJud3BsV0hIa09xdz09,07,Par: SILVER FROST  et MISS BIO (RIVER MIST),3/4 (Corde:04),,HSPIRIT,P. BARY (S),CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,"MLLE ML. COLLET, J. COLLET,MME M. COLLET",2016
14,eGFJU09vRmZhSTNoWmhCam95UkNWUT09,14,Par: DEEP IMPACT  et WIKIWIKI (FRENCH DEPUTY),3.L (Corde:14),,KANEKO MAKOTO HOLDINGS CO. LTD,Y. TOMOMICHI,CHRISTOPHE-PATRICE  LEMAIRE,56 kg,,,,,,,KANEKO MAKOTO HOLDINGS INC.,2016
15,Rk1Hd2ZZNXgza0VvaHg5S01kZjBkUT09,03,Par: SEA THE STARS  et KATYUSHA (KINGMAMBO),5/4 (Corde:13),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,FRE. HEAD (S),OLIVIER  PESLIER,"59,5kg",,,,,,,V. TYMOSHENKO,2016
16,eGEzek1uazFKVHQvbHIvWTJPMzlRUT09,06,Par: MASTERCRAFTSMAN  et MARIE VISON (ENTREPRENEUR),5/4 (Corde:02),,FRANCIS JOSEPH  GILLESPIE,KA. RYAN,JAMES WILLIAM  DOYLE,"59,5kg",,,,,,,M. PARRISH,2016
1,YWNmUDA5eEQ3dFgyNElBa3B0MlRJQT09,16,Par: ZAMINDAR  et ZARKASHA (KAHYASI),(Corde:01),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"54,5kg",2.285.600,,,,,,S.A.  AGA KHAN,2008
2,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09,01,Par: SINNDAR  et SADIMA (SADLER'S WELLS),2.L (Corde:03),,JABER  ABDULLAH,MR. CHANNON,RICHARD-JAMES  HILLS,"59,5kg",914.400,,,,,,F. DUNNE,2008
3,TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09,06,Par: GALILEO  et AFFIANCED (ERINS ISLE),1/2 (Corde:09),,MME J.MAGNIER/D.SMITH/M.TABOR,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",342.800,,,,,1,JS. BOLGER,2008
3,MjlMSlBkbnpHN0NCNXZ3aklVbG5jQT09,09,Par: PERUGINO  et IMELDA (LOMITAS),1/2 (Corde:02),,STALL 5 STARS,P. VOVCENKO,MR THIERRY  THULLIEZ,"59,5kg",342.800,,,,,,MME B. NUTTELMANN,2008
