,AnneeNaissance,NomCheval,NumSire,Race,Sexe,Suffixe,link
90,2015,FIEREMENT                ,cTI2WHFvOXhGY0pXUmJCSDBpRWgyQT09,PS   ,M,JPN,/fr/cheval/cTI2WHFvOXhGY0pXUmJCSDBpRWgyQT09
91,2005,THE BOGBERRY             ,SlFKWldCajFReWxLNG1wbnNYbldDZz09,PS   ,M,USA,/fr/cheval/SlFKWldCajFReWxLNG1wbnNYbldDZz09
92,2010,SPIRITJIM                ,WERKQUcxZHlmWnphSys3SjB4bXJSZz09,PS   ,M,FR ,/fr/cheval/WERKQUcxZHlmWnphSys3SjB4bXJSZz09
93,2008,AL KAZEEM                ,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,PS   ,M,GB ,/fr/cheval/Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09
94,2011,KINGSTON HILL            ,MmZuaHFKMHNuc0RzbHJpN1Z3QUhEZz09,PS   ,M,GB ,/fr/cheval/MmZuaHFKMHNuc0RzbHJpN1Z3QUhEZz09
95,2011,AVENIR CERTAIN           ,REdDazBNSHVPeDUxRzdXNElncFVBQT09,PS   ,F,FR ,/fr/cheval/REdDazBNSHVPeDUxRzdXNElncFVBQT09
96,2006,WIENER WALZER            ,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,PS   ,M,GER,/fr/cheval/cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09
97,2013,CLOTH OF STARS           ,c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09,PS   ,M,IRE,/fr/cheval/c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09
98,2004,ZAMBEZI SUN              ,L1Z1bVhvZ3VMNlQ5eDdOYVJVRXU2dz09,PS   ,M,GB ,/fr/cheval/L1Z1bVhvZ3VMNlQ5eDdOYVJVRXU2dz09
99,2005,TIMOS                    ,N3pWTlNoMTFVRXd3R3hiVHV4SjVEdz09,PS   ,M,GER,/fr/cheval/N3pWTlNoMTFVRXd3R3hiVHV4SjVEdz09
100,2007,MIKHAIL GLINKA           ,VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09,PS   ,M,IRE,/fr/cheval/VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09
101,2015,GHAIYYATH                ,OEVXa3VKb1gwRzVtenBOdkFVdjJBZz09,PS   ,M,IRE,/fr/cheval/OEVXa3VKb1gwRzVtenBOdkFVdjJBZz09
102,1983,KAMSIN                   ,Zk1YYWM4TmhwNHVqUkdzZjNsNEpEUT09,PS   ,H,ITY,/fr/cheval/Zk1YYWM4TmhwNHVqUkdzZjNsNEpEUT09
103,2012,GOLDEN HORN              ,NFlvT3NGR25sSEhJYW9JZGFGcWd0Zz09,PS   ,H,FR ,/fr/cheval/NFlvT3NGR25sSEhJYW9JZGFGcWd0Zz09
